rank,uid,username,type
1,8668075,Negativeday单推版,总督
2,3546568349190684,peach好吃,总督
3,5750904,diuster,提督
4,50371474,账号已注销,提督
5,1430567,Mayoi0v0,提督
6,2103201,噜噜露露lulu猪,提督
7,844701,身上有lu的香水味_香水,提督
8,12889974,凝如实,提督
9,6370097,执事只是挚食芝士,提督
10,15401154,ioal-zx,提督
11,384612754,张哥_SolarRain,提督
12,1718999,チェリーぴよ,舰长
13,115660,蔺无双双双双双,舰长
14,234050138,Post-Romantic,舰长
15,297899,大富豪貧民,舰长
16,4691031,如花似君,舰长
17,3863280,月亮掉进井里啦,舰长
18,457388376,姆q老师,舰长
19,25893271,蛤蟆小金_,舰长
20,49387718,鱼雨晴_,舰长
21,72328233,三玖丨三玖,舰长
22,438662737,涅梅西斯4645,舰长
23,23364462,luluのbochi,舰长
24,137909049,Arthurceアーサー,舰长
25,554248025,デルス・ウザーラ,舰长
26,438677,ルルカ,舰长
27,490825372,桐楠柯,舰长
28,13490987,雫るる的maro,舰长
29,3464517,西村有狗子,舰长
30,10107894,时间的陈迹,舰长
31,3494359815162159,須河原晶,舰长
32,405213828,夏忆Smile,舰长
33,19289115,NyaAoi,舰长
34,2267307,哆啦贡荡斯,舰长
35,12695530,AbsintheIC,舰长
36,7949054,执戈横剑,舰长
37,258991556,拿着小锤敲坏蛋,舰长
38,3841380,suleizc,舰长
39,468341,水守Payne,舰长
40,8339343,麻衣さん最高です,舰长
41,54043,肉_汁,舰长
42,1800983,Veritas21,舰长
43,251075309,艺术诗人阿克曼,舰长
44,143641,御意见无用-,舰长
45,335316784,总是被るる无视,舰长
46,386584259,AqukinMaster,舰长
47,160,博丽灵梦,舰长
48,17052827,諏訪丶丶ミジュマル,舰长
49,3158731,一只无聊的打工人,舰长
50,1113205,这里是小九喵,舰长
51,111868,SayakaS,舰长
52,2991831,三井寿头,舰长
53,12197950,hun害怕,舰长
54,7920069,快丨好吗,舰长
55,14988107,肥奥-胖兰度,舰长
56,7605,单调-多彩_,舰长
57,314345,微风如晨,舰长
58,300215,雫lu豆,舰长
59,1810032,直美MJきびつい,舰长
60,2229984,境界上のホライゾン,舰长
61,28939986,后工业艺术,舰长
62,28168725,秋鱼_0へ0,舰长
63,26597121,努力挣钱的jill,舰长
64,25101519,想水的鱼,舰长
65,278120467,绫的可能性,舰长
66,66758611,假笑保护伞,舰长
67,14007275,霸啦霸霸霸,舰长
68,23936896,冰云__,舰长
69,370130953,石琳君,舰长
70,61350,妖妖の梦,舰长
71,2148613,豆沙豆浆,舰长
72,4042688,水煮肉片饭饭饭,舰长
73,3121889,BP王,舰长
74,7269079,文若兮,舰长
75,20109683,一只潜水鸡,舰长
76,21574091,舐魂kq,舰长
77,505775,捡垃圾的sawa,舰长
78,378951,亦無忧,舰长
79,1534878,酱油窝蹲,舰长
80,17626083,一只迎春花,舰长
81,520026907,平穹亥咕呱QAQ,舰长
82,67692415,ひたちまこYC,舰长
83,14695633,花果山董依依,舰长
84,8063582,妹子你很不错,舰长
85,228952217,希望你开心雫,舰长
86,12175462,矸小亓,舰长
87,176591887,雨帝降雨,舰长
88,28463040,AaBbCcXxxx,舰长
89,23538831,发条不灵,舰长
90,86002678,随便起一个就好了啊,舰长
91,807,霧珠れいむ,舰长
92,88375022,LAるる,舰长
93,278006268,KevinWhiteCloud,舰长
94,15560449,稚面素心,舰长
95,1595435530,我没有钱我不要脸-8-,舰长
96,880884,ShawwwJune,舰长
97,294336,涅梅西斯0x12ef,舰长
98,51260329,雨林是雫个,舰长
99,3269606,新子憧Official,舰长
100,57085280,第三方发现,舰长
101,23194074,大锐啦啦啦,舰长
102,375143185,就当作是寂寞,舰长
103,389297944,C繁,舰长
104,11635383,saojia456,舰长
105,56515354,柒七漆七,舰长
106,680269,绯红の破晓,舰长
107,130500,吸管伯爵,舰长
108,9192610,丿嘲笑,舰长
109,557624,魔菇先生_Official,舰长
110,35853257,C_hdddd,舰长
111,6414823,雫塔莎罗斯托娃,舰长
112,35173225,修行中的大魔法师,舰长
113,28527491,火星上的小小白,舰长
114,22034735,喜欢猫咪汉堡,舰长
115,14368,赤道上的冰雪,舰长
116,129157,臭OTAKU,舰长
117,584430,ふゆゆゆゆ,舰长
118,6417403,SmartDiffusionAI,舰长
119,4511000,珊儿在练字,舰长
120,833741,ルリルル,舰长
121,229614,Dima门徒,舰长
122,38935852,单推Aimer八年,舰长
123,181098204,五没有花肉,舰长
124,2686958,St_CC肄业生,舰长
125,62028,从事国宝工作,舰长
126,32817258,Jeremy_Chen1015,舰长
127,420206,蟹になりたいね,舰长
128,1310062580,污污污火车,舰长
129,8052136,cward2,舰长
130,255051,冰丽粒,舰长
131,14648715,Orzhelp,舰长
132,12332413,霖灶sino,舰长
133,322078333,有位高手在南方,舰长
134,4766184,pandora__actor,舰长
135,261022316,鲨鱼齿真的很可爱,舰长
136,13922843,゙幽默B友,舰长
137,21706091,朝の凪,舰长
138,217410,比那名居小江,舰长
